Long,GEOID,FIPS,County,Primary Census Tract,Prostate__Observed,Prostate__Expected,Prostate_SIR,Prostate_Crude,Signif
1400000US36047052600,36047052600,36047,Kings,526,8,12.9,0.620155039,3.759398496,N
1400000US36061003002,36061003002,36061,New York,30.02,7,11.3,0.619469027,5.912162162,N
1400000US36047013900,36047013900,36047,Kings,139,6,9.7,0.618556701,3.384094755,N
1400000US36047054600,36047054600,36047,Kings,546,11,17.8,0.617977528,5.595116989,N
1400000US36081067700,36081067700,36081,Queens,677,5,8.1,0.617283951,5.747126437,N
1400000US36081091900,36081091900,36081,Queens,919,14,22.7,0.616740088,4.326328801,Y
1400000US36005007000,36005007000,36005,Bronx,70,9,14.6,0.616438356,4.143646409,N
1400000US36085017011,36085017011,36085,Richmond,170.11,12,19.5,0.615384615,5.347593583,N
1400000US36047050500,36047050500,36047,Kings,505,8,13,0.615384615,3.65463682,N
1400000US36081018900,36081018900,36081,Queens,189,8,13,0.615384615,4.651162791,N
1400000US36081072900,36081072900,36081,Queens,729,4,6.5,0.615384615,7.434944238,N
1400000US36081108500,36081108500,36081,Queens,1085,8,13.1,0.610687023,6.86695279,N
1400000US36047061004,36047061004,36047,Kings,610.04,21,34.4,0.610465116,7.378777231,Y
1400000US36081071303,36081071303,36081,Queens,713.03,12,19.7,0.609137056,4.275026719,N
1400000US36081045400,36081045400,36081,Queens,454,9,14.8,0.608108108,3.989361702,N
1400000US36081088400,36081088400,36081,Queens,884,20,33,0.606060606,5.681818182,N
1400000US36061002500,36061002500,36061,New York,25,12,19.8,0.606060606,5.340453939,N
1400000US36047070600,36047070600,36047,Kings,706,8,13.2,0.606060606,6.206361521,N
1400000US36047044300,36047044300,36047,Kings,443,6,9.9,0.606060606,1.880877743,Y
1400000US36081041500,36081041500,36081,Queens,415,6,9.9,0.606060606,3.110419907,N
1400000US36047024200,36047024200,36047,Kings,242,4,6.6,0.606060606,2.481389578,N
1400000US36081015700,36081015700,36081,Queens,157,2,3.3,0.606060606,2.27014756,Y
1400000US36047035400,36047035400,36047,Kings,354,26,43,0.604651163,11.63310962,Y
1400000US36047070201,36047070201,36047,Kings,702.01,20,33.1,0.604229607,6.825938567,Y
1400000US36081059300,36081059300,36081,Queens,593,9,14.9,0.604026846,4.563894523,N
1400000US36047057000,36047057000,36047,Kings,570,12,19.9,0.603015075,7.570977918,Y
1400000US36047006900,36047006900,36047,Kings,69,5,8.3,0.602409639,3.128911139,N
1400000US36047041000,36047041000,36047,Kings,410,5,8.3,0.602409639,5.586592179,N
1400000US36047036200,36047036200,36047,Kings,362,8,13.3,0.601503759,4.703115814,N
1400000US36081093800,36081093800,36081,Queens,938,19,31.6,0.601265823,7.00073692,Y
1400000US36005028100,36005028100,36005,Bronx,281,11,18.3,0.601092896,5.747126437,N
1400000US36081093402,36081093402,36081,Queens,934.02,11,18.3,0.601092896,5.48081714,N
1400000US36061013200,36061013200,36061,New York,132,20,33.3,0.600600601,4.627487274,Y
1400000US36085024401,36085024401,36085,Richmond,244.01,12,20,0.6,6.518196632,N
1400000US36081025900,36081025900,36081,Queens,259,6,10,0.6,3.27689787,N
1400000US36081140300,36081140300,36081,Queens,1403,6,10,0.6,5.69259962,Y
1400000US36005007800,36005007800,36005,Bronx,78,10,16.7,0.598802395,3.307972213,N
1400000US36085018902,36085018902,36085,Richmond,189.02,14,23.4,0.598290598,4.914004914,N
1400000US36081005700,36081005700,36081,Queens,57,7,11.7,0.598290598,3.050108932,N
1400000US36081033900,36081033900,36081,Queens,339,7,11.7,0.598290598,4.519044545,Y
1400000US36081011800,36081011800,36081,Queens,118,4,6.7,0.597014925,2.663115846,N
1400000US36047059402,36047059402,36047,Kings,594.02,14,23.5,0.595744681,6.263982103,Y
1400000US36061023900,36061023900,36061,New York,239,5,8.4,0.595238095,3.990422985,N
1400000US36081010800,36081010800,36081,Queens,108,5,8.4,0.595238095,2.812148481,N
